date,symbol,close,change,change_rate,open,high,low,volume,trade_value
2015-01-12,KAU15,8640,780,9.92,7860,8640,7860,1190,9740400
2015-01-13,KAU15,9500,860,9.95,9500,9500,9500,50,475000
2015-01-14,KAU15,9510,10,0.11,9510,9510,9510,100,951000
2015-01-15,KAU15,9580,70,0.74,0,0,0,0,0
2015-01-16,KAU15,9610,30,0.31,9610,9610,9610,40,384400
2015-01-19,KAU15,9860,250,2.6,0,0,0,0,0
2015-01-20,KAU15,9890,30,0.3,0,0,0,0,0
2015-01-21,KAU15,9910,20,0.2,0,0,0,0,0
2015-01-22,KAU15,9920,10,0.1,0,0,0,0,0
2015-01-23,KAU15,9920,0,0,0,0,0,0,0
2015-01-26,KAU15,9930,10,0.1,0,0,0,0,0
2015-01-27,KAU15,9930,0,0,0,0,0,0,0
2015-01-28,KAU15,9930,0,0,0,0,0,0,0
2015-01-29,KAU15,9960,30,0.3,0,0,0,0,0
2015-01-30,KAU15,9960,0,0,0,0,0,0,0
2015-02-02,KAU15,9960,0,0,0,0,0,0,0
2015-02-03,KAU15,9960,0,0,0,0,0,0,0
2015-02-04,KAU15,9960,0,0,0,0,0,0,0
2015-02-05,KAU15,9960,0,0,0,0,0,0,0
2015-02-06,KAU15,9970,10,0.1,0,0,0,0,0
2015-02-09,KAU15,9970,0,0,0,0,0,0,0
2015-02-10,KAU15,10000,30,0.3,0,0,0,0,0
2015-02-11,KAU15,10000,0,0,0,0,0,0,0
2015-02-12,KAU15,10000,0,0,0,0,0,0,0
2015-02-13,KAU15,10000,0,0,0,0,0,0,0
2015-02-16,KAU15,10000,0,0,0,0,0,0,0
2015-02-17,KAU15,10000,0,0,0,0,0,0,0
2015-02-23,KAU15,10100,100,1,0,0,0,0,0
2015-02-24,KAU15,10100,0,0,0,0,0,0,0
2015-02-25,KAU15,10100,0,0,0,0,0,0,0
2015-02-26,KAU15,10100,0,0,0,0,0,0,0
2015-02-27,KAU15,10100,0,0,0,0,0,0,0
2015-03-02,KAU15,10100,0,0,0,0,0,0,0
2015-03-03,KAU15,10100,0,0,0,0,0,0,0
2015-03-04,KAU15,10100,0,0,0,0,0,0,0
2015-03-05,KAU15,10100,0,0,0,0,0,0,0
2015-03-06,KAU15,10100,0,0,0,0,0,0,0
2015-03-09,KAU15,10100,0,0,0,0,0,0,0
2015-03-10,KAU15,10100,0,0,0,0,0,0,0
2015-03-11,KAU15,10100,0,0,0,0,0,0,0
2015-03-12,KAU15,10100,0,0,0,0,0,0,0
2015-03-13,KAU15,10100,0,0,0,0,0,0,0
2015-03-16,KAU15,10100,0,0,0,0,0,0,0
2015-03-17,KAU15,10100,0,0,0,0,0,0,0
2015-03-18,KAU15,10100,0,0,0,0,0,0,0
2015-03-19,KAU15,10100,0,0,0,0,0,0,0
2015-03-20,KAU15,10100,0,0,0,0,0,0,0
2015-03-23,KAU15,10100,0,0,0,0,0,0,0
2015-03-24,KAU15,10100,0,0,0,0,0,0,0
2015-03-25,KAU15,10100,0,0,0,0,0,0,0
2015-03-26,KAU15,10100,0,0,0,0,0,0,0
2015-03-27,KAU15,10100,0,0,0,0,0,0,0
2015-03-30,KAU15,10100,0,0,0,0,0,0,0
2015-03-31,KAU15,10100,0,0,0,0,0,0,0
2015-04-01,KAU15,10100,0,0,0,0,0,0,0
2015-04-02,KAU15,10100,0,0,0,0,0,0,0
2015-04-03,KAU15,10100,0,0,0,0,0,0,0
2015-04-06,KAU15,10100,0,0,0,0,0,0,0
2015-04-07,KAU15,10100,0,0,0,0,0,0,0
2015-04-08,KAU15,10100,0,0,0,0,0,0,0
2015-04-09,KAU15,10100,0,0,0,0,0,0,0
2015-04-10,KAU15,10100,0,0,0,0,0,0,0
2015-04-13,KAU15,10100,0,0,0,0,0,0,0
2015-04-14,KAU15,10100,0,0,0,0,0,0,0
2015-04-15,KAU15,10100,0,0,0,0,0,0,0
2015-04-16,KAU15,10100,0,0,0,0,0,0,0
2015-04-17,KAU15,10100,0,0,0,0,0,0,0
2015-04-20,KAU15,10250,150,1.49,0,0,0,0,0
2015-04-21,KAU15,10250,0,0,0,0,0,0,0
2015-04-22,KAU15,10250,0,0,0,0,0,0,0
2015-04-23,KAU15,10300,50,0.49,0,0,0,0,0
2015-04-24,KAU15,10300,0,0,0,0,0,0,0
2015-04-27,KAU15,10300,0,0,0,0,0,0,0
2015-04-28,KAU15,10300,0,0,0,0,0,0,0
2015-04-29,KAU15,10300,0,0,0,0,0,0,0
2015-04-30,KAU15,10300,0,0,0,0,0,0,0
2015-05-04,KAU15,10300,0,0,0,0,0,0,0
2015-05-06,KAU15,10300,0,0,0,0,0,0,0
2015-05-07,KAU15,10300,0,0,0,0,0,0,0
2015-05-08,KAU15,10300,0,0,0,0,0,0,0
2015-05-11,KAU15,10300,0,0,0,0,0,0,0
2015-05-12,KAU15,10300,0,0,0,0,0,0,0
2015-05-13,KAU15,10300,0,0,0,0,0,0,0
2015-05-14,KAU15,10300,0,0,0,0,0,0,0
2015-05-15,KAU15,10300,0,0,0,0,0,0,0
2015-05-18,KAU15,10300,0,0,0,0,0,0,0
2015-05-19,KAU15,10300,0,0,0,0,0,0,0
2015-05-20,KAU15,10300,0,0,0,0,0,0,0
2015-05-21,KAU15,10300,0,0,0,0,0,0,0
2015-05-22,KAU15,10300,0,0,0,0,0,0,0
