record_type,order,sector,industry,2026-07_sell,2026-07_buy,2026-06_sell,2026-06_buy,2026-05_sell,2026-05_buy,2026-04_sell,2026-04_buy,2026-03_sell,2026-03_buy,2026-02_sell,2026-02_buy,2026-01_sell,2026-01_buy,2025-12_sell,2025-12_buy,2025-11_sell,2025-11_buy,2025-10_sell,2025-10_buy,2025-09_sell,2025-09_buy,2025-08_sell,2025-08_buy,2025-07_sell,2025-07_buy,2025-06_sell,2025-06_buy,2025-05_sell,2025-05_buy,2025-04_sell,2025-04_buy,2025-03_sell,2025-03_buy,2025-02_sell,2025-02_buy,2025-01_sell,2025-01_buy,2024-12_sell,2024-12_buy,2024-11_sell,2024-11_buy,2024-10_sell,2024-10_buy,2024-09_sell,2024-09_buy,2024-08_sell,2024-08_buy,2024-07_sell,2024-07_buy,2024-06_sell,2024-06_buy,2024-05_sell,2024-05_buy,2024-04_sell,2024-04_buy,2024-03_sell,2024-03_buy,2024-02_sell,2024-02_buy,2024-01_sell,2024-01_buy,2023-12_sell,2023-12_buy,2023-11_sell,2023-11_buy,2023-10_sell,2023-10_buy,2023-09_sell,2023-09_buy,2023-08_sell,2023-08_buy,2023-07_sell,2023-07_buy,2023-06_sell,2023-06_buy,2023-05_sell,2023-05_buy,2023-04_sell,2023-04_buy,2023-03_sell,2023-03_buy,2023-02_sell,2023-02_buy,2023-01_sell,2023-01_buy,2022-12_sell,2022-12_buy,2022-11_sell,2022-11_buy,2022-10_sell,2022-10_buy,2022-09_sell,2022-09_buy,2022-08_sell,2022-08_buy
total,,,합계,6411708,6411708,11358202,11358202,4344561,4344561,6610604,6610604,5857514,5857514,2271595,2271595,2812937,2812937,2839227,2839227,1635489,1635489,2068299,2068299,2726026,2726026,6834159,6834159,4646511,4646511,3376928,3376928,2428102,2428102,1927802,1927802,1799228,1799228,1159484,1159484,11570467,11570467,29955470,29955470,3771901,3771901,3140245,3140245,1397797,1397797,3708063,3708063,4684210,4684210,5643416,5643416,3384678,3384678,4747423,4747423,4030158,4030158,2016888,2016888,14947711,14947711,17067309,17067309,6218235,6218235,293523,293523,1158385,1158385,7868402,7868402,9620147,9620147,13784027,13784027,4648744,4648744,3801591,3801591,2383009,2383009,1462122,1462122,1008618,1008618,1519663,1519663,740687,740687,219481,219481,586207,586207,885081,885081
allocated_subtotal,,,할당대상업체 소계,3050803,2877038,3001099,3070541,1178934,1960872,1658325,2095104,1325659,1750809,682110,704628,434174,882829,1618265,1343820,616133,690120,393156,837199,469181,472362,3595097,2875145,3443703,3107320,2732244,2724921,2018475,2081307,1238901,1345140,913441,1012786,488455,565876,229117,457000,2191441,1482877,1537488,820257,1075234,959809,405109,326861,1425970,1748554,2761931,2700099,3466709,3620648,2078236,2272797,1660260,2175915,1571300,2184977,1319597,1365266,615170,1014518,978067,962727,809885,649138,137914,166092,23268,332976,1994047,1081905,1604652,1252542,2831363,3052108,1687061,1102056,1482817,920410,1588577,464451,1116125,591595,847001,233880,1297564,921727,653002,415058,143341,83185,225837,339478,334689,655723
industry,1,전환,전기업,430062,1696710,362558,1599126,115000,1236542,94000,1337919,108000,1119561,105500,526209,66000,186650,779738,636641,0,339636,102862,741940,0,302340,562572,1515967,435018,1791387,362331,1584063,330109,1567197,267048,726095,145445,445334,22000,286031,22000,422000,558369,1084767,707976,542000,457600,678000,0,161500,100954,354445,289760,1615669,582877,2342907,776523,2053021,99000,2061741,96100,1804109,363872,779097,55000,691789,150765,654646,187900,120000,0,0,0,1000,246273,127422,51102,577605,174699,2452200,24500,686049,29000,426639,173700,117000,161900,216273,78420,194305,115008,706288,76332,181593,19360,4000,0,303719,283,470650
industry,2,전환,연료용 가스 제조 및 배관공급업,0,3400,0,3400,0,3400,0,16000,0,10700,0,20850,0,8750,0,14800,0,83800,0,0,0,0,0,3555,0,3550,0,3550,0,3500,0,23757,0,2300,0,2300,0,12500,0,21400,0,5800,0,0,0,0,0,5000,0,6777,0,6500,0,6500,0,6400,0,27050,0,9500,0,10500,0,17500,0,11502,0,0,0,10000,0,11300,0,11316,693,15100,0,13385,0,11240,0,13350,0,22000,0,6000,0,23200,0,28100,0,0,0,0,0,0
industry,3,전환,"증기, 냉ㆍ온수 및 공기 조절 공급업",347743,36346,364596,142068,89401,33024,89711,61190,93243,130504,100733,1900,98011,74100,6000,22615,180000,63015,50023,19444,35000,0,308572,216784,424201,232862,150958,315627,244782,178024,62720,189274,70796,160868,13594,49500,72765,10000,725910,152500,215291,104400,44000,134500,2500,70000,79757,19900,204341,32644,219558,50981,183029,22800,132975,23200,462160,139413,46000,27646,23000,142926,278000,129060,105034,155106,43857,18800,0,101136,115060,244622,228229,11941,112221,37624,213151,4300,524191,21418,32676,11700,75000,9227,123500,3900,58550,41730,32500,27015,0,56135,10000,0,91655,42400
industry,4,산업,석탄 광업,0,0,12500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66000,0,0,0,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9006,0,15000,0,5000,0,7000,0,1272,0,0,0,0,0,0,0,4564,0,0,0,0,0,0,0,0,0
industry,5,산업,토사석 광업,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industry,6,산업,"도축, 육류 가공 및 저장 처리업",0,0,0,10623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,11011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industry,7,산업,동물성 및 식물성 유지 제조업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industry,8,산업,낙농제품 및 식용 빙과류 제조업,0,0,16897,0,0,0,0,0,0,18000,0,8000,0,0,0,0,0,0,0,0,0,0,2758,0,0,0,0,4252,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6114,3774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,380,0,300,3267,228,0,3640,5000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industry,9,산업,"곡물 가공품, 전분 및 전분제품 제조업",13470,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37984,0,11298,0,0,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43732,0,0,0,0,0,39334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,3752,0,33807,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industry,10,산업,기타 식품 제조업,0,20288,0,19373,0,17710,0,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2572,12306,0,29256,1870,19098,0,15450,0,14600,0,0,0,0,0,0,0,20139,0,0,0,0,0,0,27,38137,9563,12414,0,11934,0,0,0,2000,0,7044,0,0,0,0,0,0,0,0,0,0,0,0,1912,35937,1483,14685,4460,15084,3069,1400,0,8308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industry,11,산업,알코올 음료 제조업,0,0,6315,0,0,0,0,0,0,9595,5000,0,5000,0,0,0,0,0,0,0,0,0,0,0,31664,0,666,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7986,0,20611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12881,0,0,0,17468,0,1000,0,2000,0,0,0,0,0,0,0,9900,0,0,0,0,0,0,0,0,0
industry,12,산업,비알코올 음료 및 얼음 제조업,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,7300,0,0,0,0,0,0,0,3568,0,5533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,6800,0,7537,0,3387,0,2500,0,0,0,0,0,0,0,0,0,0,0,3500,0,0,0,0,0,0,0,0
industry,13,산업,담배 제조업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industry,14,산업,방적 및 가공사 제조업,0,0,0,0,0,0,0,0,20,0,4500,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200,0,3017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1740,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0
industry,15,산업,"섬유제품 염색, 정리 및 마무리 가공업",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1101,0,0,0,3823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2343,0,0,0,0,0,0,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,500,3205,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4489
industry,16,산업,기타 섬유제품 제조업,0,0,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industry,17,산업,나무제품 제조업,10454,0,6547,0,8000,0,42000,0,20000,0,400,0,0,0,0,0,0,0,0,0,0,0,1605,3115,8600,100,0,0,0,0,19000,0,3150,0,0,0,0,0,0,0,0,0,0,0,0,0,64947,7041,5430,0,940,0,0,0,0,0,0,0,0,0,24010,0,0,0,0,0,0,0,0,0,62285,19079,24083,0,5300,5866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industry,18,산업,"펄프, 종이 및 판지 제조업",65098,18040,64825,7000,67370,0,24380,0,26180,0,24380,0,24380,0,0,0,0,0,0,0,20000,0,148229,2087,142792,16258,44183,3994,35000,0,0,0,4300,0,32000,0,0,0,0,0,0,0,0,0,70000,0,59927,19913,154185,21066,77976,0,86200,0,25000,0,62203,0,18161,0,76912,0,0,0,50000,0,0,0,0,0,64952,4550,205433,725,182305,5544,8000,0,55871,0,35000,5000,0,8100,0,7000,0,0,24000,0,0,0,38000,0,7234,0
industry,19,산업,석유 정제품 제조업,37886,0,152666,0,33632,0,10410,0,20500,0,19000,0,0,0,0,0,0,0,0,0,0,0,148970,0,323005,0,152978,0,42000,0,15000,0,27050,0,0,0,0,0,0,0,0,0,0,0,0,0,10271,0,0,399777,8092,640223,5940,0,161200,0,23000,0,208000,335203,91560,0,0,0,0,0,0,0,0,0,137808,0,57187,0,19574,0,42151,0,64000,0,111612,0,49324,0,0,0,9500,0,55210,0,1000,0,7000,0,66068,65979
industry,20,산업,기초 화학물질 제조업,311898,273414,531893,160736,296493,121162,690191,17000,117664,18156,92599,3329,133941,240,55500,13558,60000,3060,0,22880,20000,59257,356699,45781,372850,15443,371860,287,128140,56404,203326,3625,137212,5700,122513,800,51531,0,100986,1000,209545,35000,5671,0,86932,0,167517,23424,449462,29128,301013,1200,278618,0,336952,3329,576438,800,247801,88700,62200,0,1,49784,54316,0,3114,0,0,20000,180937,8257,111036,33645,476514,12890,487891,54000,32807,55169,158500,12457,146600,1000,205880,4000,543590,0,213559,1000,89961,1000,56400,11430,24608,7244
industry,21,산업,합성고무 및 플라스틱 물질 제조업,51413,261986,13981,315409,0,53000,1000,11900,1000,10000,3000,1050,3000,0,6000,0,0,0,3000,0,485,0,43075,7993,21400,34046,64223,581,0,1550,0,18000,225,0,225,2950,676,0,676,0,676,0,676,0,676,0,19257,23793,33264,0,23340,55,50732,0,10732,0,663,0,720,2200,957,0,957,0,957,0,957,0,0,0,20779,10670,12965,0,48064,10731,13486,0,5064,30351,0,4000,0,1000,11000,0,31000,0,0,0,0,5800,0,10500,1797,2210
industry,22,산업,"비료, 농약 및 살균ㆍ살충제 제조업",0,0,0,125,0,0,0,0,0,3700,0,0,0,0,0,0,0,0,0,0,0,0,323,3118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,4000,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,133000,0,130238,0,0,0,0,0,0,0,0,0,25400,0,0,0,0,0,45500,5100,93380,0,0,0,20460,0,0,0,0,0,26401,0,10000,0
industry,23,산업,기타 화학제품 제조업,0,10192,0,730,0,1930,0,26000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20674,628,10749,0,0,0,2767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3282,11274,0,6445,560,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752,0,2191,2786,0,5122,0,0,0,9500,0,8750,0,0,0,0,0,2000,0,0,0,0,0,0,0,0
industry,24,산업,화학섬유 제조업,0,0,64663,0,3524,0,4000,0,0,22000,0,0,0,0,0,0,0,0,21000,0,0,0,576,0,0,0,43285,0,2638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29000,0,419,0,2971,726,59267,0,0,0,10000,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,32187,0,12258,2983,5065,0,0,0,87100,0,65000,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0
industry,25,산업,기초 의약 물질 및 생물학적 제제 제조업,0,0,1848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2322,25000,0,4438,1357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18155,2273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4282,2641,2060,0,1448,0,0,0,0,0,5050,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industry,26,산업,의약품 제조업,7884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4355,8326,0,8214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,2508,0,4322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966,0,0,0,0,6848,0,0,0,2897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
